id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,justice league crisis on two earths,7.2,277
23169,en,Remember Me,11.453,2010-03-12,remember me,7.1,2079
44115,en,127 Hours,11.435,2010-11-05,127 hours,7.0,4469
47533,de,Scooby-Doo! Curse of the Lake Monster,11.372,2010-10-15,scoobydoo curse of the lake monster,5.6,171
43593,en,Piranha 3D,11.302,2010-08-20,piranha 3d,5.3,1029
37861,en,Valhalla Rising,11.26,2010-07-16,valhalla rising,6.0,582
12201,en,Edge of Darkness,11.252,2010-01-29,edge of darkness,6.3,794
35552,fr,Les Aventures extraordinaires d'Adèle Blanc-Sec,11.221,2010-04-14,the extraordinary adventures of adèle blancsec,6.0,671
32856,en,Valentine's Day,11.187,2010-02-11,valentines day,5.8,1907
43539,en,The Next Three Days,11.147,2010-11-19,the next three days,7.0,1469
50393,en,Kung Fu Panda Holiday,11.083,2010-11-26,kung fu panda holiday,6.6,110
26388,en,Buried,10.888,2010-09-24,buried,6.6,1487
11645,ja,乱,10.885,1985-09-26,ran,8.1,600
41135,en,Operation: Endgame,10.799,2010-07-20,operation endgame,4.9,88
38745,en,Gulliver's Travels,10.768,2010-12-25,gullivers travels,5.1,1282
41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754,2010-09-24,legend of the guardians the owls of gahoole,6.6,1223
23172,en,The Spy Next Door,10.746,2010-01-15,the spy next door,5.7,650
16290,en,Jackass 3D,10.715,2010-10-15,jackass 3d,6.3,655
13078,en,The Babysitters,10.71,2008-05-09,the babysitters,5.3,125
15357,fr,Banlieue 13 - Ultimatum,10.661,2010-02-05,district 13 ultimatum,6.1,555
10664,es,[REC]²,10.66,2010-07-09,rec²,6.5,920
51170,en,Open Season 3,10.614,2010-01-25,open season 3,5.5,237
38357,en,Morning Glory,10.595,2010-11-10,morning glory,6.3,717
25941,en,Harry Brown,10.555,2010-04-30,harry brown,6.8,505
39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,cats dogs the revenge of kitty galore,4.9,273
45317,en,The Fighter,10.395,2010-12-17,the fighter,7.3,2325
27,en,9 Songs,10.332,2004-09-09,9 songs,4.9,170
37710,en,The Tourist,10.307,2010-12-10,the tourist,6.1,3133
40080,en,The Cutting Edge: Fire & Ice,10.303,2010-03-14,the cutting edge fire ice,6.0,63
830,en,Forbidden Planet,10.274,1956-03-15,forbidden planet,7.3,388
34134,en,Barbie in A Mermaid Tale,10.252,2010-03-01,barbie in a mermaid tale,6.7,282
14756,cn,葉問,10.23,2010-10-01,ip man,7.7,1906
37821,en,Killers,10.221,2010-06-04,killers,5.8,1314
38303,en,You Again,10.208,2010-09-24,you again,6.2,734
44040,en,Devil,10.203,2010-09-17,devil,5.9,1516
34813,en,The Losers,10.202,2010-04-23,the losers,6.2,844
44629,en,Animal Kingdom,10.188,2010-08-13,animal kingdom,6.8,399
33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,wall street money never sleeps,6.0,797
43933,en,Monsters,10.175,2010-10-29,monsters,6.2,848
23048,en,Hot Tub Time Machine,10.15,2010-03-26,hot tub time machine,6.0,1383
14447,en,A Matter of Loaf and Death,10.1,2010-02-19,a matter of loaf and death,7.2,219
43347,en,Love & Other Drugs,10.09,2010-11-24,love other drugs,6.9,2509
40205,en,16 Wishes,10.068,2010-06-25,16 wishes,5.9,688
42188,en,Never Let Me Go,10.012,2010-09-15,never let me go,6.8,1294
43923,en,It's Kind of a Funny Story,10.01,2010-10-08,its kind of a funny story,7.0,1324
38167,en,Eat Pray Love,9.991,2010-08-12,eat pray love,6.0,1208
37786,en,Sex and the City 2,9.986,2010-05-27,sex and the city 2,5.9,809
37495,en,Four Lions,9.968,2010-11-05,four lions,7.0,621
13477,en,When in Rome,9.926,2010-01-29,when in rome,5.9,703
27573,en,The Bounty Hunter,9.861,2010-03-19,the bounty hunter,5.7,1627
39013,en,Winter's Bone,9.824,2010-06-11,winters bone,6.9,931
52338,en,Waiting for Forever,9.819,2010-02-10,waiting for forever,5.7,172
43931,en,My Soul to Take,9.808,2010-10-08,my soul to take,5.4,247
23437,en,A Nightmare on Elm Street,9.795,2010-04-30,a nightmare on elm street,5.5,1408
43949,en,Flipped,9.781,2010-08-06,flipped,7.4,859
41402,en,Let Me In,9.716,2010-10-01,let me in,6.7,1061
38199,en,Unthinkable,9.693,2010-06-15,unthinkable,6.7,623
44363,en,Frozen,9.678,2010-02-05,frozen,5.8,987
29564,en,Smokin' Aces 2: Assassins' Ball,9.565,2010-01-19,smokin aces 2 assassins ball,5.4,141
34647,en,Enter the Void,9.563,2010-09-24,enter the void,7.3,773
55890,en,Bereavement,9.55,2010-07-16,bereavement,5.3,71
44639,en,Inside Job,9.514,2010-10-08,inside job,7.8,466
101669,en,Mother's Day,9.496,2010-09-23,mothers day,6.4,193
7340,en,Carrie,9.467,1976-11-03,carrie,7.1,1766
37950,en,Charlie St. Cloud,9.454,2010-05-01,charlie st cloud,6.9,1398
35169,en,Furry Vengeance,9.45,2010-04-02,furry vengeance,4.6,283
45324,en,Casino Jack,9.432,2010-12-17,casino jack,6.1,149
35558,en,Starstruck,9.406,2010-02-14,starstruck,6.7,627
39285,en,Beauty & the Briefcase,9.405,2010-04-18,beauty the briefcase,5.5,250
36419,en,After.Life,9.395,2009-11-07,afterlife,5.7,416
44009,en,Another Year,9.394,2010-12-29,another year,7.0,150
37056,en,Letters to Juliet,9.394,2010-05-14,letters to juliet,6.9,1706
27585,en,Rabbit Hole,9.389,2010-12-16,rabbit hole,6.8,292
44147,en,Wild Target,9.355,2010-10-29,wild target,6.4,356
38358,en,The Last Exorcism,9.35,2010-08-27,the last exorcism,5.6,519
43549,en,The Experiment,9.261,2010-07-15,the experiment,6.5,553
50135,de,Konferenz der Tiere,9.258,2010-10-07,animals united,5.4,151
26715,en,Bitch Slap,9.253,2010-01-08,bitch slap,4.7,148
41211,fr,L'arnacoeur,9.241,2010-09-10,heartbreaker,6.6,761
35690,en,The Last Song,9.237,2010-03-31,the last song,7.2,2199
48415,it,Benvenuti al sud,9.188,2010-12-20,welcome to the south,6.7,1071
46838,en,Tucker and Dale vs. Evil,9.159,2010-01-22,tucker and dale vs evil,7.3,1427
41515,en,Yogi Bear,9.096,2010-12-17,yogi bear,5.3,387
38542,en,The Disappearance of Alice Creed,9.087,2010-04-30,the disappearance of alice creed,6.6,280
36950,en,You Don't Know Jack,9.071,2010-04-14,you dont know jack,7.0,176
39486,en,Secretariat,9.059,2010-10-08,secretariat,7.0,200
27579,en,The American,9.042,2010-09-01,the american,5.8,690
46705,en,Blue Valentine,8.994,2010-12-29,blue valentine,6.9,1677
40264,en,Vampires Suck,8.992,2010-08-18,vampires suck,4.1,658
46738,fr,Incendies,8.973,2010-09-04,incendies,8.1,1034
22907,en,Takers,8.969,2010-08-26,takers,6.2,605
278604,en,"Family Guy Presents: Something, Something, Something, Dark Side",8.956,2010-05-23,family guy presents something something something dark side,7.1,194
45162,en,Superman/Batman: Apocalypse,8.884,2010-09-28,supermanbatman apocalypse,7.0,291
42684,en,Skyline,8.847,2010-11-12,skyline,4.8,833
23742,en,Cop Out,8.82,2010-02-26,cop out,5.4,796
28211,en,Chloe,8.807,2010-03-26,chloe,5.9,940
52015,en,Stake Land,8.799,2010-10-01,stake land,6.2,415
50618,ru,Брестская крепость,8.769,2010-11-11,fortress of war,7.3,75
59490,en,Cave of Forgotten Dreams,8.762,2010-11-03,cave of forgotten dreams,7.3,143
34480,en,The Descent: Part 2,8.741,2010-04-27,the descent part 2,6.0,480
44918,en,Titanic II,8.729,2010-08-24,titanic 2,3.2,90
31967,en,Dante's Inferno: An Animated Epic,8.711,2010-02-09,dantes inferno an animated epic,6.0,102
37645,fr,L'Immortel,8.697,2010-03-24,22 bullets,6.5,508
39452,en,Exit Through the Gift Shop,8.696,2010-01-24,exit through the gift shop,7.7,467
48650,es,Habitación en Roma,8.682,2010-11-11,room in rome,6.1,236
42297,en,Burlesque,8.676,2010-11-23,burlesque,7.1,1195
56272,en,Elektra Luxx,8.595,2010-03-14,elektra luxx,4.9,74
68341,ja,冷たい熱帯魚,8.582,2010-07-05,cold fish,6.6,113
52587,de,Wir sind die Nacht,8.57,2010-11-11,we are the night,6.2,129
56743,en,Elena Undone,8.531,2010-06-25,elena undone,7.2,81
34583,en,The Final,8.517,2010-01-28,the final,5.6,131
43919,en,Hatchet II,8.513,2010-10-01,hatchet ii,5.5,160
45523,en,Louis C.K.: Hilarious,8.504,2010-01-26,louis ck hilarious,8.0,127
27004,en,Ca$h,8.503,2010-01-01,cah,5.8,112
38579,en,Marmaduke,8.487,2010-06-04,marmaduke,5.1,367
32823,en,Get Him to the Greek,8.485,2010-06-04,get him to the greek,5.9,980
59457,en,Womb,8.483,2010-07-15,womb,6.1,159
48838,en,London Boulevard,8.469,2010-11-12,london boulevard,5.9,409
40720,en,Twelve,8.46,2010-07-30,twelve,5.9,147
71883,ja,レドライン,8.436,2010-09-23,redline,7.4,110
39781,en,The Kids Are All Right,8.426,2010-07-09,the kids are all right,6.6,854
12685,en,BloodRayne: The Third Reich,8.419,2010-11-05,bloodrayne the third reich,3.7,83
11761,it,Peacock,8.414,2010-04-20,peacock,6.1,104
46261,en,Don't Be Afraid of the Dark,8.405,2010-11-06,dont be afraid of the dark,5.5,550
41201,fr,L'illusionniste,8.404,2010-12-25,the illusionist,7.4,280
44113,en,Stone,8.401,2010-10-22,stone,5.2,334
31007,en,Welcome to the Rileys,8.348,2010-10-29,welcome to the rileys,6.5,241
45649,en,Rubber,8.319,2010-09-01,rubber,5.9,417
30618,en,Bunraku,8.282,2010-09-01,bunraku,5.9,161
38073,en,Going the Distance,8.281,2010-09-03,going the distance,6.0,394
52274,es,Los ojos de Julia,8.268,2010-10-29,julias eyes,6.7,415
46528,en,The Warrior's Way,8.259,2010-12-03,the warriors way,6.1,203
23830,en,Last Night,8.244,2010-09-18,last night,6.1,444
44718,en,Get Low,8.215,2010-01-22,get low,6.7,135
40794,it,Mine vaganti,8.202,2010-04-28,loose cannons,7.4,310
27586,en,The Runaways,8.19,2010-03-19,the runaways,6.4,448
51736,en,Bloomington,8.176,2010-06-23,bloomington,6.6,65
41436,en,Paranormal Activity 2,8.163,2010-10-21,paranormal activity 2,5.7,1342
43956,en,Tom and Jerry Meet Sherlock Holmes,8.142,2010-08-24,tom and jerry meet sherlock holmes,6.6,19
13635,fr,L'Instinct de mort,8.131,2010-08-27,mesrine killer instinct,7.4,434
52454,en,Mega Shark vs. Crocosaurus,8.129,2010-12-21,mega shark vs crocosaurus,2.7,60
36800,en,Metropia,8.113,2010-05-12,metropia,6.3,82
44129,en,The Company Men,8.109,2010-10-21,the company men,6.6,349
12819,en,Alpha and Omega,8.108,2010-09-17,alpha and omega,5.4,227
50479,en,Avalon High,8.098,2010-11-12,avalon high,6.1,313
42941,en,30 Days of Night: Dark Days,8.086,2010-10-05,30 days of night dark days,4.7,218
54559,en,Minions: Orientation Day,8.053,2010-12-13,minions orientation day,6.9,117
30675,en,Planet Hulk,8.053,2010-02-02,planet hulk,6.7,185
44982,en,13,8.007,2010-03-12,13,5.7,392
29426,en,Survival of the Dead,7.964,2010-05-28,survival of the dead,4.8,199
53399,it,La solitudine dei numeri primi,7.959,2010-10-10,the solitude of prime numbers,5.8,218
34179,zh,錦衣衛,7.948,2010-02-04,14 blades,6.6,87
44874,en,Barbie: A Fashion Fairytale,7.947,2010-09-14,barbie a fashion fairytale,6.8,228
46020,en,Sharktopus,7.943,2010-09-25,sharktopus,4.4,69
39957,en,Burning Bright,7.938,2010-08-17,burning bright,6.0,113
44603,en,Hereafter,7.886,2010-10-22,hereafter,5.9,848
46503,en,All Good Things,7.871,2010-12-03,all good things,6.0,493
34769,en,Defendor,7.863,2010-02-26,defendor,6.4,295
74471,en,The Dead,7.841,2010-10-07,the dead,5.7,89
40619,en,Day & Night,7.835,2010-06-17,day night,7.7,438
44425,hi,दबंग्ग,7.831,2010-09-10,dabangg,6.2,73
11439,en,The Ghost Writer,7.829,2010-02-12,the ghost writer,6.8,1135
12645,en,Inhale,7.826,2010-10-01,inhale,6.1,63
35025,fr,Le Mac,7.825,2010-02-16,le mac,5.7,144
8999,en,Derailed,7.814,2005-11-11,derailed,6.2,500
34016,en,She's Out of My League,7.775,2010-03-12,shes out of my league,6.1,970
26466,en,Triangle,7.761,2010-02-02,triangle,6.8,1094
39356,en,Boy,7.759,2012-03-02,boy,7.5,149
44269,fr,Tout ce qui Brille,7.756,2010-12-03,all that glitters,6.4,456
41210,en,The Switch,7.745,2010-08-20,the switch,6.1,1008
39053,en,Cyrus,7.735,2010-06-18,cyrus,6.0,201
136294,fr,"L'Amour, c'est mieux à deux",7.701,2010-06-29,the perfect date,5.6,118
15362,fr,L'ennemi public n°1,7.7,2010-09-03,mesrine public enemy 1,7.4,404
41382,en,Lottery Ticket,7.699,2010-08-20,lottery ticket,5.7,92
45958,es,Biutiful,7.697,2010-12-28,biutiful,7.2,546
8349,de,Der rote Baron,7.676,2010-02-11,the red baron,6.5,111
41556,en,The Romantics,7.676,2010-09-10,the romantics,4.9,145
37931,en,MacGruber,7.666,2010-05-21,macgruber,5.3,270
46441,en,Mirrors 2,7.663,2010-10-19,mirrors 2,5.5,182
19237,en,Kill Theory,7.663,2010-01-29,kill theory,5.3,58
44092,zh,剑雨,7.621,2010-09-01,reign of assassins,6.8,87
26022,hi,My Name Is Khan,7.619,2010-02-12,my name is khan,7.8,409
73211,no,Kongen av Bastøy,7.616,2010-12-20,king of devils island,7.3,96
35138,zh,大兵小将,7.607,2010-02-14,little big soldier,6.8,123
39210,en,Somewhere,7.596,2010-12-22,somewhere,6.1,376
27583,en,Greenberg,7.57,2010-03-26,greenberg,5.9,280
45272,en,Country Strong,7.567,2010-12-22,country strong,6.3,126
49852,en,The Nutcracker in 3D,7.566,2010-11-24,the nutcracker in 3d,5.5,97
36970,en,Oceans,7.532,2010-04-21,oceans,7.2,167
45094,en,Conviction,7.51,2010-10-15,conviction,7.2,297
49009,en,The Way Back,7.503,2010-09-03,the way back,6.9,759
48844,en,The Search for Santa Paws,7.452,2010-11-23,the search for santa paws,5.9,85
38843,en,Ramona and Beezus,7.442,2010-07-23,ramona and beezus,6.3,460
65496,fr,Mes chères études,7.394,2010-11-11,student services,4.8,67
41180,en,The Client List,7.382,2010-07-19,the client list,5.6,108
21634,en,Prayers for Bobby,7.372,2009-02-27,prayers for bobby,7.9,220
18438,ko,김씨 표류기,7.368,2010-02-05,castaway on the moon,8.1,259
38961,en,Tamara Drewe,7.364,2010-12-30,tamara drewe,5.8,226
46829,en,Barney's Version,7.357,2011-01-14,barneys version,7.2,210
57120,en,Meek's Cutoff,7.309,2010-10-08,meeks cutoff,6.5,113
48393,es,Secuestrados,7.297,2010-06-17,kidnapped,6.3,98
31196,en,Growth,7.28,2010-01-29,growth,5.2,33
46138,en,Made in Dagenham,7.275,2010-11-19,made in dagenham,6.6,150
51256,en,Donkey's Christmas Shrektacular,7.265,2010-12-07,donkeys christmas shrektacular,5.3,70
62592,en,Revenge of the Bridesmaids,7.216,2010-07-18,revenge of the bridesmaids,6.3,165
50674,en,The Lost Future,7.188,2010-11-13,the lost future,5.0,79
42296,en,Catfish,7.172,2010-09-17,catfish,6.8,284
36736,en,The Drawn Together Movie: The Movie!,7.171,2010-04-20,the drawn together movie the movie,6.4,54
33195,en,Triage,7.155,2010-08-10,triage,6.5,82
47518,en,The Tortured,7.148,2010-06-15,the tortured,5.3,77
42189,en,Kevin Hart: Seriously Funny,7.146,2010-07-20,kevin hart seriously funny,7.3,89
44835,en,Hesher,7.14,2010-01-22,hesher,7.0,335
38568,en,Howl,7.12,2010-09-24,howl,6.8,100
39312,en,Restrepo,7.119,2010-06-25,restrepo,7.5,188
54551,en,Banana,7.118,2010-12-13,banana,7.1,178
70076,en,Lying to Be Perfect,7.108,2010-01-30,lying to be perfect,6.1,85
33511,en,Nowhere Boy,7.099,2010-01-27,nowhere boy,7.3,469
41827,en,Red White & Blue,7.09,2010-10-08,red white blue,6.2,64
37414,en,The Killer Inside Me,7.087,2010-04-27,the killer inside me,5.9,304
21588,it,Dellamorte Dellamore,7.078,1996-04-26,cemetery man,7.1,192
45752,en,Scooby-Doo! Camp Scare,7.048,2010-09-14,scoobydoo camp scare,7.2,52
38093,en,Just Wright,7.047,2010-05-14,just wright,6.2,211
33427,en,LEGO: The Adventures of Clutch Powers,7.039,2010-01-01,lego the adventures of clutch powers,5.5,41
52077,fr,Rien à déclarer,6.978,2010-12-20,nothing to declare,5.8,602
49350,en,Harriet the Spy: Blog Wars,6.896,2010-03-25,harriet the spy blog wars,4.7,127
33602,en,Temple Grandin,6.875,2010-02-06,temple grandin,7.8,173
291081,en,Red Riding: In the Year of Our Lord 1974,6.871,2010-02-05,red riding in the year of our lord 1974,6.8,99
51823,en,Across the Line: The Exodus of Charlie Wright,6.863,2010-12-29,across the line the exodus of charlie wright,5.9,19
34803,en,Death at a Funeral,6.862,2010-04-15,death at a funeral,5.7,439
46368,en,The Rig,6.856,2010-10-05,the rig,3.7,39
38407,en,Shanghai,6.824,2010-10-02,shanghai,6.1,80
45662,en,Space Chimps 2: Zartog Strikes Back,6.792,2010-05-26,space chimps 2 zartog strikes back,4.6,50
42888,en,How Do You Know,6.753,2010-12-17,how do you know,5.1,453
34182,zh,孔子,6.706,2010-03-18,confucius,5.9,45
95547,en,Triassic Attack,6.706,2010-11-27,triassic attack,3.2,22
47607,en,Tiny Furniture,6.695,2010-11-12,tiny furniture,5.9,82
33473,en,Stomp the Yard 2: Homecoming,6.684,2010-10-10,stomp the yard 2 homecoming,4.7,48
48466,en,Scared Shrekless,6.682,2010-10-28,scared shrekless,6.2,177
35428,ru,О чём говорят мужчины,6.675,2010-11-11,what men talk about,7.7,71
47218,en,Happythankyoumoreplease,6.645,2010-01-20,happythankyoumoreplease,6.5,148
35688,en,Why Did I Get Married Too?,6.636,2010-04-02,why did i get married too,5.9,49
47386,en,YellowBrickRoad,6.635,2010-01-23,yellowbrickroad,4.9,75
38778,en,Dinner for Schmucks,6.632,2010-07-30,dinner for schmucks,5.6,920
60695,en,Sundays at Tiffany's,6.629,2010-12-06,sundays at tiffanys,6.5,43
33107,en,And Soon the Darkness,6.606,2010-12-17,and soon the darkness,5.2,197
50337,en,Firebreather,6.591,2010-11-24,firebreather,6.2,33
35458,en,Crazy on the Outside,6.579,2010-01-08,crazy on the outside,5.4,48
43434,en,Carlos,6.568,2010-10-11,carlos,7.0,87
34751,en,Free Willy: Escape from Pirate's Cove,6.568,2010-03-23,free willy escape from pirates cove,5.2,61
36956,it,Cosa voglio di più,6.53,2010-06-06,come undone,5.6,49
36515,en,The Prince & Me 4: The Elephant Adventure,6.523,2010-03-23,the prince me 4 the elephant adventure,5.5,37
64956,en,Inception: The Cobol Job,6.516,2010-12-07,inception the cobol job,7.4,227
29483,en,Beautiful Kate,6.481,2010-01-08,beautiful kate,6.1,29
69270,en,Super Hybrid,6.474,2010-01-01,super hybrid,5.1,35
40663,en,Gasland,6.468,2010-01-24,gasland,7.5,80
39522,en,Mega Piranha,6.457,2010-04-10,mega piranha,2.9,78
38033,en,Chain Letter,6.44,2010-10-01,chain letter,4.1,63
43920,en,Dog Pound,6.428,2010-04-24,dog pound,7.6,177
41479,en,The Joneses,6.424,2010-04-16,the joneses,6.2,312
291092,en,Red Riding: In the Year of Our Lord 1983,6.423,2010-02-05,red riding in the year of our lord 1983,7.0,70
44037,en,Lake Placid 3,6.411,2010-08-21,lake placid 3,4.4,68
43939,en,I'm Still Here,6.386,2010-09-10,im still here,6.0,179
48186,en,The Boy Who Cried Werewolf,6.372,2010-10-22,the boy who cried werewolf,6.0,123
44992,en,Hubble 3D,6.346,2010-03-19,hubble 3d,7.1,54
43263,en,Jesse Stone: No Remorse,6.324,2010-05-09,jesse stone no remorse,6.8,34
52010,en,"Ultramarines: A Warhammer 40,000 Movie",6.322,2010-12-10,ultramarines a warhammer 40000 movie,5.2,50
60809,de,Groupies bleiben nicht zum Frühstück,6.32,2010-10-10,single by contract,6.9,104
41066,ja,レイトン教授と永遠の歌姫,6.308,2010-12-31,professor layton and the eternal diva,7.7,78
44678,en,Altitude,6.305,2010-10-10,altitude,4.9,119
27569,en,Extraordinary Measures,6.3,2010-01-21,extraordinary measures,6.3,153
44638,en,The Tempest,6.3,2010-12-10,the tempest,5.8,52
24328,en,Tokyo Mater,6.29,2008-12-12,tokyo mater,6.0,41
57243,fr,Les Femmes du 6e étage,6.281,2010-12-20,the women on the 6th floor,6.7,183
45569,en,Red Hill,6.269,2010-11-05,red hill,6.1,79
